日期,股票,代码,操作,数量,价格,金额,手续费,盈亏,原因
2024-01-03,贵州茅台,600519,买入,200,1578.98,315796.33,94.74,,金叉 MA5=1580.87 > MA30=1578.09
2024-01-05,贵州茅台,600519,卖出,200,1544.24,308847.07,401.5,-7350.77,死叉 MA5=1569.76 < MA30=1572.06
2024-01-08,招商银行,600036,买入,14000,24.84,347754.12,104.33,,金叉 MA5=24.60 > MA30=24.52
2024-01-11,药明康德,603259,买入,5000,68.43,342132.9,102.64,,MACD金叉 DIF=-2.4853
2024-01-15,比亚迪,002594,买入,3900,63.46,247480.97,74.24,,金叉 MA5=63.16 > MA30=63.02
2024-01-15,中信证券,600030,买入,2900,18.53,53728.24,16.12,,MACD金叉 DIF=-0.3987
2024-01-18,比亚迪,002594,卖出,3900,61.86,241238.56,313.61,-6556.03,死叉 MA5=62.68 < MA30=62.79
2024-01-22,招商银行,600036,卖出,7000,26.61,186246.76,242.12,12127.58,RSI超买减仓(92) +7.5%
2024-01-22,海天味业,603288,买入,5700,33.46,190703.65,57.21,,MACD金叉 DIF=-0.4385
2024-01-23,中国平安,601318,买入,5200,35.8,186167.59,55.85,,金叉 MA5=35.41 > MA30=35.33
2024-01-29,招商银行,600036,卖出,3500,27.57,96511.59,125.47,9447.59,RSI超买减仓(90) +11.5%
2024-01-29,药明康德,603259,卖出,5000,56.38,281885.1,366.45,-60614.25,死叉 MA5=65.99 < MA30=67.86
2024-01-29,紫金矿业,601899,买入,200,11.78,2356.7,5.0,,MACD金叉 DIF=-0.0247
2024-01-31,海天味业,603288,卖出,5700,32.13,183116.03,238.05,-7825.66,死叉 MA5=33.30 < MA30=33.57
2024-02-02,紫金矿业,601899,卖出,200,11.54,2307.38,7.31,-56.64,死叉 MA5=11.65 < MA30=11.68
2024-02-05,贵州茅台,600519,买入,200,1519.33,303866.52,91.16,,MACD金叉 DIF=-13.1003
2024-02-05,宁德时代,300750,买入,2100,144.47,303383.56,91.02,,MACD金叉 DIF=-2.3452
2024-02-05,海天味业,603288,买入,100,33.37,3336.66,5.0,,MACD金叉 DIF=-0.2432
2024-03-14,招商银行,600036,卖出,3500,27.48,96197.22,125.06,9133.63,死叉 MA5=27.82 < MA30=27.85
