POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,MOMENTUM_FILTER_ENABLED,MOMENTUM_LOOKBACK,MOMENTUM_MIN_PCT,DEATH_CROSS_CONFIRM,PROFIT_PROTECT_ENABLED,PROFIT_PROTECT_PCT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.9,0.35,0.15,0.2,3,85,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.95,0.35,0.15,0.2,3,85,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.95,0.35,0.15,0.2,3,90,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.9,0.35,0.15,0.3,3,85,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.9,0.35,0.15,0.3,3,90,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.95,0.35,0.15,0.3,3,95,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.95,0.35,0.15,0.3,3,85,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.95,0.35,0.15,0.3,3,90,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.95,0.35,0.15,0.2,3,95,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.9,0.35,0.15,0.3,3,95,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.9,0.35,0.15,0.2,3,90,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.9,0.35,0.15,0.2,3,95,True,5,-0.15,1,False,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.9,0.35,0.2,0.15,3,90,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.15,0.15,3,85,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.15,0.15,3,90,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.15,0.15,3,95,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.2,0.15,3,95,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.3,0.15,3,90,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.9,0.35,0.3,0.15,3,95,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.2,0.15,3,90,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
0.95,0.35,0.3,0.15,3,95,True,5,-0.15,1,False,0.05,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
