MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
10,20,0,0.9,0.35,0.2,0.15,0.5,False,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
10,20,0,0.9,0.35,0.2,0.15,0.3,False,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505,1626418.6715665997
10,20,0,0.9,0.35,0.2,0.5,0.5,False,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
10,20,0,0.9,0.35,0.2,0.5,0.3,False,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
10,20,0,0.9,0.35,0.2,0.25,0.3,False,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
10,20,0,0.9,0.35,0.2,0.25,0.5,False,0.5837679368053996,0.23769674739015145,-0.11675338439660006,1.0665431930748717,163,0.5393258426966292,1583767.9368053996
5,30,0,0.9,0.35,0.2,0.15,0.3,False,0.5824869637264009,0.23723236574816653,-0.12601063259132492,0.9871346411383707,141,0.5733333333333334,1582486.9637264009
5,30,0,0.9,0.35,0.2,0.15,0.5,False,0.5824869637264009,0.23723236574816653,-0.12601063259132492,0.9871346411383707,141,0.5733333333333334,1582486.9637264009
5,30,0,0.9,0.35,0.2,0.25,0.5,False,0.5741880808611999,0.23421893834624363,-0.12738760323992607,1.0008893361502058,137,0.5753424657534246,1574188.0808611999
5,30,0,0.9,0.35,0.2,0.5,0.3,False,0.5741880808611999,0.23421893834624363,-0.12738760323992607,1.0008893361502058,137,0.5753424657534246,1574188.0808611999
