total_return,annual_return,max_drawdown,sharpe,calmar,win_rate,trades,final_equity,POSITION_PCT,MAX_POSITION_PCT,MA_FAST,MA_SLOW,MA_TREND,MAX_DRAWDOWN_LIMIT,STOP_LOSS_PCT,TRAILING_STOP_PCT
20.991487714599984,4.697817631608658,-23.104507609784044,0.18974183072883824,0.20332905210320423,65.48463356973994,641,1209914.8771459998,0.6,0.4,10,20,30,0.25,0.05,0.1
20.38321696208003,4.570763057202365,-21.68805310906378,0.18245772492570497,0.21075027040081207,66.34146341463415,619,1203832.1696208003,0.6,0.4,10,20,30,0.15,0.08,0.1
19.91413906547995,4.472449638291276,-23.609953160509104,0.17669123494779315,0.18943068662127055,66.01941747572816,624,1199141.3906547995,0.6,0.4,10,20,0,0.25,0.08,0.1
17.97427054071997,4.062748018439866,-23.27406443892243,0.15212762542651556,0.17456117426767628,63.63636363636363,661,1179742.7054071997,0.8,0.3,10,20,0,0.2,0.05,0.06
17.540531182499926,3.9704432895645736,-24.104622026151194,0.14609344358959986,0.1647170938941513,63.82022471910113,686,1175405.3118249993,0.45,0.4,10,20,30,0.25,0.08,0.06
16.621282624100058,3.773958676060496,-27.005872791542924,0.13549477430762846,0.13974585102994105,64.82300884955751,690,1166212.8262410006,0.6,0.4,7,20,30,0.15,0.05,0.06
16.621282624100058,3.773958676060496,-27.005872791542924,0.13549477430762846,0.13974585102994105,64.82300884955751,690,1166212.8262410006,0.6,0.4,7,20,0,0.15,0.05,0.06
16.59277777787994,3.767847148186032,-19.744528080224264,0.13224073312427154,0.19082994199085643,64.12556053811659,688,1165927.7777787994,0.45,0.3,10,20,0,0.25,0.05,0.06
16.59277777787994,3.767847148186032,-19.744528080224264,0.13224073312427154,0.19082994199085643,64.12556053811659,688,1165927.7777787994,0.45,0.3,10,20,30,0.2,0.05,0.06
16.59277777787994,3.767847148186032,-19.744528080224264,0.13224073312427154,0.19082994199085643,64.12556053811659,688,1165927.7777787994,0.45,0.3,10,20,30,0.25,0.05,0.06
16.016046757980018,3.643949903465349,-26.279603694563285,0.1270475488177256,0.13866076314610512,64.76190476190476,642,1160160.4675798002,0.8,0.3,10,20,30,0.2,0.08,0.08
16.016046757980018,3.643949903465349,-26.279603694563285,0.1270475488177256,0.13866076314610512,64.76190476190476,642,1160160.4675798002,0.8,0.3,10,20,0,0.2,0.08,0.08
15.95556457116003,3.630929646411163,-23.891070735528412,0.12543732302995708,0.15197852313130558,66.41975308641975,614,1159555.6457116003,0.8,0.3,10,20,30,0.2,0.08,0.1
15.95556457116003,3.630929646411163,-23.891070735528412,0.12543732302995708,0.15197852313130558,66.41975308641975,614,1159555.6457116003,0.8,0.3,10,20,30,0.25,0.08,0.1
15.519372269839888,3.5368757042900434,-25.129084184835975,0.12203722240683687,0.14074829302471573,63.888888888888886,663,1155193.7226983989,0.6,0.4,10,20,0,0.2,0.08,0.06
15.35397226866004,3.501140841907313,-25.703216623216452,0.11531419849303698,0.13621411254593344,65.06550218340611,698,1153539.7226866004,0.45,0.4,7,20,30,0.2,0.08,0.06
15.35397226866004,3.501140841907313,-25.703216623216452,0.11531419849303698,0.13621411254593344,65.06550218340611,698,1153539.7226866004,0.45,0.4,7,20,0,0.2,0.08,0.06
15.205674443860003,3.4690678401156916,-23.0916296859851,0.1185568300789606,0.15023053319710722,64.45497630331754,646,1152056.7444386,0.6,0.4,10,20,30,0.25,0.05,0.08
14.213414948439901,3.253657415824085,-21.530839666495787,0.09791692824904451,0.15111614160069717,63.758389261744966,690,1142134.149484399,0.45,0.3,10,20,30,0.15,0.05,0.06
13.891929206640064,3.1835611702147215,-24.081946601208024,0.09698998263024967,0.1321970031299307,66.26506024096386,631,1138919.2920664006,0.6,0.3,10,20,30,0.25,0.08,0.1
13.638484782179958,3.1281945949951595,-27.411357725606283,0.10019306398188903,0.11412038127804813,65.25,609,1136384.8478217996,0.8,0.4,10,20,0,0.2,0.05,0.1
13.427094246939896,3.081943225529038,-23.2122392819739,0.0950095897661567,0.13277233566700328,63.3177570093458,661,1134270.942469399,0.6,0.4,10,20,0,0.25,0.05,0.06
13.321405559799937,3.058794442315671,-24.767484567523237,0.09294507189175309,0.12350040772112016,62.91079812206573,658,1133214.0555979994,0.6,0.4,10,20,30,0.15,0.05,0.06
13.149313813359989,3.0210664369476614,-27.59274874707684,0.0887183712131293,0.10948769419964771,62.41299303944315,669,1131493.1381336,0.8,0.3,10,20,30,0.15,0.08,0.06
13.149313813359989,3.0210664369476614,-27.59274874707684,0.0887183712131293,0.10948769419964771,62.41299303944315,669,1131493.1381336,0.8,0.3,10,20,0,0.15,0.08,0.06
13.002701765860037,2.9888900189299017,-24.519568971203775,0.08250259334789779,0.12189814684100313,63.59649122807017,700,1130027.0176586004,0.45,0.4,7,20,0,0.15,0.05,0.06
12.948613314720056,2.977011419471731,-20.44542389575314,0.06879715847699261,0.1456077132296634,64.60554371002132,717,1129486.1331472006,0.3,0.3,7,20,0,0.25,0.08,0.06
12.898817159699998,2.9660716516547447,-23.097168560072948,0.08521438416890177,0.12841711069217643,65.15513126491646,639,1128988.171597,0.8,0.3,10,20,0,0.25,0.05,0.1
12.898817159699998,2.9660716516547447,-23.097168560072948,0.08521438416890177,0.12841711069217643,65.15513126491646,639,1128988.171597,0.8,0.3,10,20,30,0.25,0.05,0.1
12.85748152714013,2.956987802157962,-26.11656465744193,0.08018591605092837,0.11322269375560336,64.60176991150442,691,1128574.8152714013,0.45,0.4,7,20,0,0.15,0.08,0.06
12.78395641826007,2.9408238039196455,-23.260885786627014,0.08204665391741835,0.1264278510670631,63.84439359267735,676,1127839.5641826007,0.6,0.3,10,20,30,0.25,0.08,0.06
12.675118358860072,2.916881802037219,-20.46509627037514,0.07644957489267767,0.14252959104129104,64.98194945848375,429,1126751.1835886007,0.8,0.4,5,15,40,0.2,0.08,0.1
12.563895305619994,2.892397010445591,-28.107323744333733,0.08680692949435492,0.10290545755102994,65.0,609,1125638.9530562,0.8,0.4,10,20,30,0.25,0.05,0.1
12.04793137718006,2.778571222674664,-28.784492816579267,0.07383802986904994,0.09653014351791063,63.63636363636363,644,1120479.3137718006,0.8,0.3,10,20,0,0.15,0.08,0.08
12.04793137718006,2.778571222674664,-28.784492816579267,0.07383802986904994,0.09653014351791063,63.63636363636363,644,1120479.3137718006,0.8,0.3,10,20,30,0.15,0.08,0.08
11.30786810129988,2.614610670634465,-22.631502103621028,0.06713523191792946,0.11552970097447174,63.48448687350835,645,1113078.6810129988,0.6,0.4,10,20,30,0.2,0.05,0.08
11.27561335144008,2.607445855041224,-20.27912263119149,0.03971071283100941,0.1285778434531822,63.8477801268499,725,1112756.1335144008,0.3,0.4,7,20,0,0.2,0.05,0.06
11.27561335144008,2.607445855041224,-20.27912263119149,0.03971071283100941,0.1285778434531822,63.8477801268499,725,1112756.1335144008,0.3,0.4,7,20,30,0.25,0.05,0.06
11.214857259520073,2.593945693687627,-19.705175149153504,0.05269021437546996,0.13163778926365227,65.6140350877193,439,1112148.5725952007,0.6,0.4,5,15,40,0.15,0.08,0.1
11.183964840219915,2.58707917087726,-17.256295744414942,0.037880320186553025,0.1499208873790064,63.07692307692307,707,1111839.6484021991,0.3,0.4,10,20,0,0.2,0.05,0.06
11.183964840219915,2.58707917087726,-17.256295744414942,0.037880320186553025,0.1499208873790064,63.07692307692307,707,1111839.6484021991,0.3,0.3,10,20,30,0.15,0.05,0.06
11.104100052000025,2.5693207429148934,-27.641197099577024,0.06754890934666709,0.09295258572408971,60.74561403508771,721,1111041.0005200002,0.8,0.4,10,15,0,0.15,0.05,0.08
11.104100052000025,2.5693207429148934,-27.641197099577024,0.06754890934666709,0.09295258572408971,60.74561403508771,721,1111041.0005200002,0.8,0.4,10,15,30,0.15,0.05,0.08
11.087120299699972,2.565543941345494,-23.489627249432033,0.058460749320257764,0.10922029175271512,64.62264150943396,651,1110871.2029969997,0.6,0.3,10,20,30,0.25,0.05,0.1
11.087120299699972,2.565543941345494,-23.489627249432033,0.058460749320257764,0.10922029175271512,64.62264150943396,651,1110871.2029969997,0.6,0.3,10,20,30,0.2,0.05,0.1
11.049191246220028,2.557105809590343,-23.698113558282373,0.05061493732295337,0.10790334864846857,63.69565217391304,706,1110491.9124622003,0.45,0.3,7,20,30,0.25,0.05,0.06
10.786638508399973,2.4986352548111546,-27.730652978020014,0.056931847842639806,0.090103729500767,65.1006711409396,683,1107866.3850839997,0.6,0.4,7,20,0,0.25,0.08,0.06
