total_return,annual_return,max_drawdown,sharpe,calmar,win_rate,trades,MA_TREND,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PROFIT_TARGET_1,PROFIT_TARGET_2,PROFIT_TARGET_3,RSI_OVERBOUGHT,MACD_SELL_RSI_MIN,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MA_FAST,MA_SLOW,POSITION_PCT,MAX_POSITION_PCT,MAX_TOTAL_POS_PCT,MIN_CASH_RESERVE
29.550742233279998,6.436229721966225,-23.505140591353932,0.2872912153496399,0.273822217610292,59.710144927536234,556,30,0.05,0.08,0.2,0.06,0.1,0.25,90,75,True,3,10,20,0.6,0.4,0.95,0.05
28.640785372540005,6.255632271349931,-25.23770074354482,0.2758083630097935,0.24786854931505464,64.28571428571429,643,30,0.05,0.08,0.15,0.04,0.15,0.25,85,75,True,3,10,20,0.6,0.4,0.95,0.05
27.317612469619977,5.991286428380804,-23.433545866481072,0.26257909138765667,0.2556713551810626,61.34453781512605,567,30,0.05,0.08,0.2,0.06,0.1,0.18,90,75,True,3,10,20,0.6,0.4,0.95,0.05
26.930773978679905,5.913609326655456,-26.092051908030804,0.2583942851119488,0.22664408868646016,64.72019464720195,626,0,0.07,0.08,0.2,0.04,0.15,0.25,85,75,True,3,10,20,0.6,0.4,0.95,0.05
26.773739945799928,5.882025635881227,-25.02745545920963,0.257393821687826,0.23502291894866817,65.57377049180327,647,30,0.05,0.08,0.2,0.04,0.1,0.25,85,75,True,3,10,20,0.6,0.4,0.95,0.05
26.095613444839998,5.745294486839647,-25.527868047553426,0.24864827653671912,0.22505970636236786,61.94690265486725,539,30,0.05,0.1,0.15,0.06,0.12,0.18,90,75,True,5,10,20,0.6,0.4,0.95,0.05
25.342842268319988,5.59285740014388,-26.005433925556986,0.24385069730346545,0.2150649520463286,65.75682382133995,611,0,0.05,0.1,0.25,0.04,0.12,0.25,85,75,True,5,10,20,0.6,0.4,0.95,0.05
24.553566826820024,5.432280023719538,-24.498171736293383,0.22993897011647862,0.22174226232857044,64.54081632653062,603,0,0.05,0.1,0.25,0.06,0.1,0.22,85,75,True,3,10,20,0.6,0.4,0.95,0.05
24.50056544835991,5.421469294770964,-26.296683201960903,0.23226274096422098,0.20616551726822696,66.66666666666666,605,30,0.08,0.1,0.2,0.04,0.1,0.25,85,75,True,5,10,20,0.6,0.4,0.95,0.05
24.491208624239917,5.419560413895375,-25.74339565680397,0.23021428918547376,0.21052236022573761,64.1025641025641,547,0,0.08,0.12,0.2,0.06,0.15,0.22,85,75,True,5,10,20,0.6,0.4,0.95,0.05
