MOMENTUM_FILTER_ENABLED,MOMENTUM_LOOKBACK,MOMENTUM_MIN_PCT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
True,5,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,5,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,5,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,10,-0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,10,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,10,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,15,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,15,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
True,20,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.0,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.02,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.05,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,20,0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,-0.15,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
False,30,-0.1,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
