MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,total_return,annual_return,max_drawdown,sharpe,trades,win_rate
10,20,0,0.95,0.35,0.15,0.2,0.5,False,True,3,90,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652
10,20,0,0.95,0.35,0.15,0.2,0.5,False,True,3,95,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652
10,20,0,0.9,0.35,0.15,0.2,0.5,False,True,3,95,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652
10,20,0,0.9,0.35,0.15,0.2,0.5,False,True,3,90,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652
10,20,0,0.95,0.35,0.3,0.15,0.5,False,True,3,90,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505
10,20,0,0.9,0.35,0.3,0.15,0.5,False,True,3,90,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505
10,20,0,0.9,0.35,0.15,0.15,0.5,False,True,3,95,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505
10,20,0,0.9,0.35,0.2,0.15,0.5,False,True,3,90,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505
10,20,0,0.95,0.35,0.3,0.15,0.5,False,True,3,95,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505
10,20,0,0.9,0.35,0.15,0.15,0.5,False,True,3,90,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505
10,20,0,0.9,0.35,0.3,0.15,0.5,False,True,3,95,0.6264186715665997,0.2530451490285921,-0.09832888515681044,1.1366275408299624,170,0.5376344086021505
