MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,SELL_COOLDOWN_BARS,STOP_LOSS_PCT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,total_return,max_drawdown,sharpe,trades
5,30,0,0.9,0.35,2,0.12,False,True,64.53111357432006,-13.006115095308349,1.082808504220699,140
5,30,0,0.8,0.3,2,0.15,False,True,62.66073643320005,-11.322095013519228,1.0884211883695627,162
5,30,0,0.8,0.3,2,0.12,False,True,62.66073643320005,-11.322095013519228,1.0884211883695627,162
5,30,0,0.8,0.3,2,0.2,False,True,62.66073643320005,-11.322095013519228,1.0884211883695627,162
5,30,0,0.9,0.3,2,0.12,False,True,58.19089540890003,-14.21969064910891,1.016154707717606,153
5,30,0,0.9,0.3,2,0.15,False,True,58.19089540890003,-14.21969064910891,1.016154707717606,153
5,30,0,0.9,0.3,2,0.2,False,True,58.19089540890003,-14.21969064910891,1.016154707717606,153
5,30,0,0.9,0.35,3,0.15,False,True,57.41880808611999,-12.738760323992606,1.0008893361502058,137
5,30,0,0.9,0.35,3,0.2,False,True,57.41880808611999,-12.738760323992606,1.0008893361502058,137
5,30,0,0.8,0.35,3,0.12,False,True,55.72540069282004,-12.206798654726278,0.9998704594462227,160
5,30,0,0.8,0.35,3,0.2,False,True,55.72540069282004,-12.206798654726278,0.9998704594462227,160
5,30,0,0.8,0.35,3,0.15,False,True,55.72540069282004,-12.206798654726278,0.9998704594462227,160
5,30,0,0.9,0.35,3,0.12,False,True,55.37851895184001,-12.33204461247504,0.9739253125361057,138
5,30,0,0.9,0.35,2,0.15,False,True,55.26747372856,-13.547574044804641,0.9720126058894203,138
5,30,0,0.9,0.35,2,0.2,False,True,55.26747372856,-13.547574044804641,0.9720126058894203,138
5,30,0,0.8,0.35,2,0.15,False,True,54.79049886476011,-12.781444880792867,0.9836282626713371,168
5,30,0,0.8,0.35,2,0.2,False,True,54.79049886476011,-12.781444880792867,0.9836282626713371,168
5,30,0,0.8,0.35,2,0.12,False,True,54.79049886476011,-12.781444880792867,0.9836282626713371,168
5,30,0,0.9,0.3,3,0.15,False,True,53.87377582814009,-12.464080564938577,0.9700750161050641,153
5,30,0,0.9,0.3,3,0.12,False,True,53.87377582814009,-12.464080564938577,0.9700750161050641,153
5,30,0,0.9,0.3,3,0.2,False,True,53.87377582814009,-12.464080564938577,0.9700750161050641,153
5,30,0,0.8,0.3,3,0.2,False,True,53.245613252300025,-12.320290232351589,0.9666952962496752,158
5,30,0,0.8,0.3,3,0.12,False,True,53.245613252300025,-12.320290232351589,0.9666952962496752,158
5,30,0,0.8,0.3,3,0.15,False,True,53.245613252300025,-12.320290232351589,0.9666952962496752,158
5,20,0,0.7,0.2,2,0.2,False,True,52.96691781946006,-11.37306838773727,1.014558888163873,347
