MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,MACD_SELL_RSI_MIN,RSI_OVERBOUGHT,total_return,annual_return,max_drawdown,sharpe,trades,win_rate
10,20,0,0.9,0.5,0.12,0.2,0.5,False,True,3,90,95,0.5976013013005997,0.2426988774548804,-0.11928576635175245,1.0113765914183677,135,0.463768115942029
10,20,0,0.9,0.5,0.12,0.2,0.5,False,True,3,95,95,0.5976013013005997,0.2426988774548804,-0.11928576635175245,1.0113765914183677,135,0.463768115942029
10,20,0,0.9,0.5,0.15,0.2,0.5,False,True,3,90,95,0.5913859533149998,0.24045429925992012,-0.11928576635175245,1.002248700588738,135,0.463768115942029
10,20,0,0.9,0.5,0.15,0.2,0.5,False,True,3,95,95,0.5913859533149998,0.24045429925992012,-0.11928576635175245,1.002248700588738,135,0.463768115942029
10,20,0,0.9,0.5,0.2,0.2,0.5,False,True,3,95,95,0.5876525757022002,0.23910378646626018,-0.11928576635175245,0.9973967430326035,133,0.45588235294117646
10,20,0,0.9,0.5,0.2,0.2,0.5,False,True,3,90,95,0.5876525757022002,0.23910378646626018,-0.11928576635175245,0.9973967430326035,133,0.45588235294117646
10,20,0,0.95,0.35,0.15,0.2,0.5,False,True,3,95,95,0.5456188505482004,0.22377942935936623,-0.12732443595488613,0.9616681799211503,154,0.4358974358974359
10,20,0,0.9,0.35,0.15,0.2,0.5,False,True,3,95,95,0.5456188505482004,0.22377942935936623,-0.12732443595488613,0.9616681799211503,154,0.4358974358974359
10,20,0,0.9,0.35,0.15,0.2,0.5,False,True,3,90,95,0.5456188505482004,0.22377942935936623,-0.12732443595488613,0.9616681799211503,154,0.4358974358974359
10,20,0,0.95,0.35,0.15,0.2,0.5,False,True,3,90,95,0.5456188505482004,0.22377942935936623,-0.12732443595488613,0.9616681799211503,154,0.4358974358974359
10,20,0,0.95,0.5,0.15,0.2,0.5,False,True,3,90,99,0.5214496890393994,0.21486667226549572,-0.15939438990425245,0.8555795490058663,124,0.4262295081967213
10,20,0,0.95,0.5,0.15,0.2,0.5,False,True,3,95,99,0.5214496890393994,0.21486667226549572,-0.15939438990425245,0.8555795490058663,124,0.4262295081967213
10,20,0,0.9,0.5,0.15,0.2,0.5,False,True,3,90,99,0.5187285990137993,0.21385848675371233,-0.15939438990425245,0.8520450884293429,124,0.4262295081967213
10,20,0,0.9,0.5,0.15,0.2,0.5,False,True,3,95,99,0.5187285990137993,0.21385848675371233,-0.15939438990425245,0.8520450884293429,124,0.4262295081967213
10,20,0,0.9,0.5,0.15,0.15,0.5,False,True,3,90,99,0.5136860906177992,0.21198763345889238,-0.15582817454914566,0.8328491545233175,126,0.4838709677419355
10,20,0,0.9,0.5,0.15,0.15,0.5,False,True,3,95,99,0.5136860906177992,0.21198763345889238,-0.15582817454914566,0.8328491545233175,126,0.4838709677419355
10,20,0,0.9,0.5,0.2,0.15,0.5,False,True,3,90,99,0.5136860906177992,0.21198763345889238,-0.15582817454914566,0.8328491545233175,126,0.4838709677419355
10,20,0,0.9,0.5,0.2,0.15,0.5,False,True,3,95,99,0.5136860906177992,0.21198763345889238,-0.15582817454914566,0.8328491545233175,126,0.4838709677419355
10,20,0,0.95,0.5,0.15,0.15,0.5,False,True,3,90,99,0.5131686201945995,0.21179545449702086,-0.1563133129745219,0.8318692419510224,124,0.47540983606557374
10,20,0,0.95,0.5,0.15,0.15,0.5,False,True,3,95,99,0.5131686201945995,0.21179545449702086,-0.1563133129745219,0.8318692419510224,124,0.47540983606557374
10,20,0,0.95,0.5,0.2,0.15,0.5,False,True,3,90,99,0.5131686201945995,0.21179545449702086,-0.1563133129745219,0.8318692419510224,124,0.47540983606557374
10,20,0,0.95,0.5,0.2,0.15,0.5,False,True,3,95,99,0.5131686201945995,0.21179545449702086,-0.1563133129745219,0.8318692419510224,124,0.47540983606557374
10,20,0,0.95,0.35,0.15,0.2,0.5,False,True,3,95,92,0.5127280854156001,0.21163182024040594,-0.11454601966991697,0.9470552531525502,151,0.4936708860759494
10,20,0,0.9,0.35,0.15,0.2,0.5,False,True,3,90,92,0.5127280854156001,0.21163182024040594,-0.11454601966991697,0.9470552531525502,151,0.4936708860759494
10,20,0,0.95,0.35,0.15,0.2,0.5,False,True,3,90,92,0.5127280854156001,0.21163182024040594,-0.11454601966991697,0.9470552531525502,151,0.4936708860759494
10,20,0,0.9,0.35,0.15,0.2,0.5,False,True,3,95,92,0.5127280854156001,0.21163182024040594,-0.11454601966991697,0.9470552531525502,151,0.4936708860759494
10,20,0,0.9,0.35,0.2,0.2,0.5,False,True,3,90,95,0.5112467013731997,0.21108138065210258,-0.14419377099971908,0.9098846977931434,150,0.4342105263157895
10,20,0,0.95,0.35,0.2,0.2,0.5,False,True,3,90,95,0.5112467013731997,0.21108138065210258,-0.14419377099971908,0.9098846977931434,150,0.4342105263157895
10,20,0,0.95,0.35,0.2,0.2,0.5,False,True,3,95,95,0.5112467013731997,0.21108138065210258,-0.14419377099971908,0.9098846977931434,150,0.4342105263157895
