MA_FAST,MA_SLOW,MA_TREND,POSITION_PCT,MAX_POSITION_PCT,STOP_LOSS_PCT,TRAILING_STOP_PCT,MAX_DRAWDOWN_LIMIT,PARTIAL_PROFIT_ENABLED,PROFIT_TARGET_1,PROFIT_TARGET_2,PROFIT_TARGET_3,RSI_OVERBOUGHT,MACD_SELL_RSI_MIN,MACD_BUY_ENABLED,SELL_COOLDOWN_BARS,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.5,2.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,0.6,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.5,1.0,95,85,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.5,1.0,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,0.6,95,85,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,0.6,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.5,1.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.5,0.6,95,85,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,1.0,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.5,0.6,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,1.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,1.0,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,2.0,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,2.0,95,85,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,1.0,95,85,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,1.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,2.0,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.5,0.6,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,2.0,95,85,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,2.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,1.0,95,85,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,0.6,95,75,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.25,0.3,0.6,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.3,2.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.1,0.5,1.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
10,20,0,0.9,0.35,0.2,0.15,0.5,0.0,0.15,0.3,2.0,95,95,True,5,0.5016801007102004,0.20751971958791504,-0.11720907890683815,0.9170923668632454,143,0.4722222222222222,1501680.1007102004
