VOL_CONFIRM_RATIO,RSI_BUY_MAX,SURGE_MAX_PCT,SELL_COOLDOWN_BARS,total_return,annual_return,max_drawdown,sharpe,trades,win_rate,final_value
0.5,100,0.15,3,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.5,85,0.15,3,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.5,80,0.15,3,0.6381507749629999,0.2572291400864395,-0.09535281227452415,1.1521362523121932,169,0.5434782608695652,1638150.7749629999
0.0,75,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,85,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,85,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,100,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.0,80,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.0,80,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,75,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,75,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.0,75,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,80,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,80,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,100,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.0,100,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,80,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,75,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.0,100,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,80,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.0,85,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.0,85,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,85,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,100,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,100,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,85,0.2,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.3,75,0.15,5,0.5504858768399996,0.2255651616494565,-0.11616120915999001,1.0520846027319042,168,0.5494505494505495,1550485.8768399996
0.5,75,0.15,3,0.5492871369068003,0.22512561826693145,-0.1289214088532305,1.0110799506400219,165,0.5280898876404494,1549287.1369068003
0.5,70,0.15,3,0.5492871369068003,0.22512561826693145,-0.1289214088532305,1.0110799506400219,165,0.5280898876404494,1549287.1369068003
0.0,85,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.0,75,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.3,85,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.3,100,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.3,75,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.0,100,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.0,80,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.3,80,0.15,3,0.5239330838094002,0.21578594626827585,-0.11716978214789855,0.9857144982370747,173,0.5684210526315789,1523933.0838094002
0.5,70,0.2,5,0.5181147089785997,0.2136309017317235,-0.11616120915999001,1.0014481212430142,160,0.5632183908045977,1518114.7089785996
0.0,70,0.15,5,0.5181147089785997,0.2136309017317235,-0.11616120915999001,1.0014481212430142,160,0.5632183908045977,1518114.7089785996
0.3,70,0.15,5,0.5181147089785997,0.2136309017317235,-0.11616120915999001,1.0014481212430142,160,0.5632183908045977,1518114.7089785996
0.3,70,0.2,5,0.5181147089785997,0.2136309017317235,-0.11616120915999001,1.0014481212430142,160,0.5632183908045977,1518114.7089785996
0.0,70,0.2,5,0.5181147089785997,0.2136309017317235,-0.11616120915999001,1.0014481212430142,160,0.5632183908045977,1518114.7089785996
0.5,70,0.15,5,0.5181147089785997,0.2136309017317235,-0.11616120915999001,1.0014481212430142,160,0.5632183908045977,1518114.7089785996
0.5,75,0.15,2,0.4913747661228005,0.20366938765870057,-0.12409485818911978,0.9363764020217895,176,0.5729166666666666,1491374.7661228005
0.5,85,0.15,2,0.4913747661228005,0.20366938765870057,-0.12409485818911978,0.9363764020217895,176,0.5729166666666666,1491374.7661228005
0.5,100,0.15,2,0.4913747661228005,0.20366938765870057,-0.12409485818911978,0.9363764020217895,176,0.5729166666666666,1491374.7661228005
0.5,80,0.15,2,0.4913747661228005,0.20366938765870057,-0.12409485818911978,0.9363764020217895,176,0.5729166666666666,1491374.7661228005
0.5,70,0.15,2,0.4913747661228005,0.20366938765870057,-0.12409485818911978,0.9363764020217895,176,0.5729166666666666,1491374.7661228005
0.0,70,0.15,3,0.4868788924998003,0.2019851473292047,-0.11716978214789855,0.9275485189901911,173,0.5578947368421052,1486878.8924998003
0.3,70,0.15,3,0.4868788924998003,0.2019851473292047,-0.11716978214789855,0.9275485189901911,173,0.5578947368421052,1486878.8924998003
0.5,70,0.2,3,0.4856255967242001,0.20151515216496851,-0.12575239329790977,0.9366840398245214,167,0.5222222222222223,1485625.5967242
0.5,70,0.0,3,0.4856255967242001,0.20151515216496851,-0.12575239329790977,0.9366840398245214,167,0.5222222222222223,1485625.5967242
0.5,70,0.3,3,0.4856255967242001,0.20151515216496851,-0.12575239329790977,0.9366840398245214,167,0.5222222222222223,1485625.5967242
0.0,75,0.15,2,0.4708884588720007,0.19597259030754155,-0.12858835765566612,0.8952343587715972,177,0.5670103092783505,1470888.4588720007
0.3,80,0.15,2,0.4708884588720007,0.19597259030754155,-0.12858835765566612,0.8952343587715972,177,0.5670103092783505,1470888.4588720007
0.3,70,0.15,2,0.4708884588720007,0.19597259030754155,-0.12858835765566612,0.8952343587715972,177,0.5670103092783505,1470888.4588720007
0.0,70,0.15,2,0.4708884588720007,0.19597259030754155,-0.12858835765566612,0.8952343587715972,177,0.5670103092783505,1470888.4588720007
0.3,75,0.15,2,0.4708884588720007,0.19597259030754155,-0.12858835765566612,0.8952343587715972,177,0.5670103092783505,1470888.4588720007
0.0,80,0.15,2,0.4708884588720007,0.19597259030754155,-0.12858835765566612,0.8952343587715972,177,0.5670103092783505,1470888.4588720007
0.0,85,0.15,2,0.4708884588720007,0.19597259030754155,-0.12858835765566612,0.8952343587715972,177,0.5670103092783505,1470888.4588720007
