日期,股票,代码,操作,数量,价格,金额,手续费,盈亏,原因
2025-08-29,宁德时代,300750,卖出,400,305.57,122227.06,158.9,9980.43,止盈L1 +9.5%
2025-09-03,宁德时代,300750,卖出,300,308.38,92514.6,120.27,8328.54,止盈L2 +10.5%
2025-09-04,比亚迪,002594,卖出,1700,103.79,176446.4,229.38,-12281.22,移动止盈 从最高114.06回落8.8%
2025-09-05,隆基绿能,601012,卖出,2400,18.06,43353.12,56.36,3569.46,止盈L1 +9.6%
2025-09-15,宁德时代,300750,卖出,200,353.99,70798.12,92.04,14662.22,止盈L3 +26.8%
2025-09-17,比亚迪,002594,买入,3500,111.21,389241.93,116.77,,MACD金叉 DIF=-0.1222 | MA30=107.88
2025-09-19,海天味业,603288,卖出,1200,39.14,46969.87,61.06,111.4,死叉 MA10=40.05 < MA20=40.10
2025-09-22,隆基绿能,601012,卖出,5600,16.57,92774.08,120.61,-43.55,死叉 MA10=17.10 < MA20=17.15
2025-09-24,贵州茅台,600519,卖出,100,1415.02,141502.43,183.95,-357.31,死叉 MA10=1457.81 < MA20=1459.36
2025-09-29,隆基绿能,601012,买入,18500,17.62,325880.46,97.76,,MACD金叉 DIF=0.1888 | MA30=17.04
2025-09-30,药明康德,603259,买入,1100,112.25,123479.47,37.04,,金叉 MA10=106.95 > MA20=106.73 | MA30=104.12
2025-10-09,隆基绿能,601012,卖出,5500,18.84,103632.32,134.72,6614.22,止盈L1 +7.4%
2025-10-13,药明康德,603259,卖出,1100,99.53,109483.59,142.33,-14138.2,死叉 MA10=106.23 < MA20=106.63
2025-10-13,宁德时代,300750,卖出,600,373.75,224250.6,291.53,55827.48,移动止盈 从最高409.89回落8.6%
2025-10-14,比亚迪,002594,卖出,3500,105.78,370223.07,481.29,-19500.15,死叉 MA10=107.40 < MA20=107.57
2025-10-15,隆基绿能,601012,卖出,3900,19.68,76754.18,99.78,7955.28,止盈L2 +12.2%
2025-10-16,贵州茅台,600519,买入,300,1462.97,438891.03,131.67,,MACD金叉 DIF=-4.3417 | MA30=1446.93
2025-10-17,中国平安,601318,买入,5700,56.46,321837.39,96.55,,金叉 MA10=55.25 > MA20=55.13 | MA30=55.86
2025-10-22,招商银行,600036,买入,3100,40.97,127012.52,38.1,,金叉 MA10=40.18 > MA20=40.08 | MA30=40.59
2025-10-27,药明康德,603259,买入,300,106.85,32055.98,9.62,,MACD金叉 DIF=-0.0581 | MA30=104.66
2025-10-30,药明康德,603259,卖出,300,96.87,29059.76,37.78,-3034.0,移动止盈 从最高106.64回落9.0%
2025-10-31,贵州茅台,600519,卖出,300,1403.26,420977.36,547.27,-18460.94,死叉 MA10=1422.87 < MA20=1423.25
2025-11-07,隆基绿能,601012,卖出,2700,22.39,60439.88,78.57,12800.37,止盈L3 +27.6%
2025-11-10,贵州茅台,600519,买入,200,1440.7,288139.13,86.44,,MACD金叉 DIF=-5.4729 | MA30=1420.69
2025-11-12,中国平安,601318,卖出,1700,59.91,101846.9,132.4,5727.91,止盈L1 +6.5%
2025-11-12,隆基绿能,601012,卖出,6400,20.75,132789.89,172.63,19880.24,移动止盈 从最高22.80回落8.8%
2025-11-14,宁德时代,300750,买入,700,404.93,283449.77,85.03,,MACD金叉 DIF=9.3474 | MA30=385.27
2025-11-21,宁德时代,300750,卖出,700,369.26,258482.0,336.03,-25303.79,死叉 MA10=389.25 < MA20=389.84
2025-12-01,中国平安,601318,卖出,4000,58.51,234050.96,304.27,7895.89,死叉 MA10=59.37 < MA20=59.43
2025-12-02,贵州茅台,600519,卖出,200,1409.17,281833.2,366.38,-6672.31,死叉 MA10=1428.91 < MA20=1429.72
2025-12-08,宁德时代,300750,买入,1100,393.29,432613.5,129.78,,MACD金叉 DIF=1.1682 | MA30=385.83
2025-12-08,中国平安,601318,买入,7100,63.53,451040.28,135.31,,MACD金叉 DIF=0.6702 | MA30=59.37
2025-12-10,招商银行,600036,卖出,3100,40.57,125762.97,163.49,-1413.04,死叉 MA10=41.97 < MA20=41.97
2025-12-17,中国平安,601318,卖出,2100,67.91,142619.19,185.4,9027.51,止盈L1 +7.3%
2025-12-19,药明康德,603259,买入,2500,92.65,231637.35,69.49,,金叉 MA10=91.79 > MA20=91.71 | MA30=92.29
2025-12-22,海天味业,603288,买入,2400,37.63,90300.24,27.09,,金叉 MA10=36.57 > MA20=36.52 | MA30=36.91
2025-12-22,宁德时代,300750,卖出,1100,371.1,408205.95,530.67,-24938.22,止损 亏损-5.5%
2025-12-23,中国平安,601318,卖出,2500,69.35,173377.55,225.39,14335.16,RSI超买减仓(91) +9.6%
2025-12-25,贵州茅台,600519,买入,200,1417.0,283399.67,85.02,,金叉 MA10=1405.45 > MA20=1403.38 | MA30=1414.15
2025-12-25,中国平安,601318,卖出,700,70.66,49460.88,64.3,4927.82,止盈L2 +11.7%
2025-12-26,药明康德,603259,卖出,2500,92.51,231286.5,300.67,-651.52,死叉 MA10=91.13 < MA20=91.23
2025-12-29,隆基绿能,601012,买入,20600,18.74,385990.44,115.8,,金叉 MA10=18.13 > MA20=18.10 | MA30=18.53
2025-12-30,比亚迪,002594,买入,1500,99.95,149924.25,44.98,,金叉 MA10=96.14 > MA20=95.98 | MA30=95.53
2026-01-12,中国平安,601318,卖出,1800,67.41,121346.82,157.75,6840.83,移动止盈 从最高74.32回落9.1%
2026-01-20,贵州茅台,600519,卖出,200,1370.8,274160.58,356.41,-9595.5,死叉 MA10=1400.74 < MA20=1403.78
2026-01-20,比亚迪,002594,卖出,1500,94.55,141825.78,184.37,-8282.84,死叉 MA10=96.47 < MA20=96.95
2026-01-20,隆基绿能,601012,卖出,20600,17.35,357311.94,464.51,-29143.0,止损 亏损-7.2%
2026-01-21,海天味业,603288,卖出,2400,36.14,86730.19,112.75,-3682.8,死叉 MA10=37.21 < MA20=37.25
2026-01-23,隆基绿能,601012,买入,22400,19.39,434306.88,130.29,,MACD金叉 DIF=-0.1095 | MA30=18.28
2026-01-29,贵州茅台,600519,买入,200,1440.6,288119.09,86.44,,MACD金叉 DIF=-12.1096 | MA30=1392.55
2026-02-02,隆基绿能,601012,卖出,22400,17.6,394345.73,512.65,-40473.8,移动止盈 从最高19.35回落8.8%
2026-02-04,隆基绿能,601012,买入,22000,19.35,425669.64,127.7,,金叉 MA10=18.62 > MA20=18.49 | MA30=18.49
2026-02-05,海天味业,603288,买入,5200,37.74,196223.66,58.87,,MACD金叉 DIF=-0.2624 | MA30=36.66
2026-02-05,隆基绿能,601012,卖出,22000,18.19,400257.88,520.34,-25932.1,止损 亏损-5.8%
2026-02-09,宁德时代,300750,买入,800,369.56,295646.11,88.69,,金叉 MA10=353.41 > MA20=351.81 | MA30=357.97
2026-02-09,中国平安,601318,买入,3400,68.84,234047.16,70.21,,金叉 MA10=66.78 > MA20=66.41 | MA30=67.79
2026-02-27,中国平安,601318,卖出,3400,62.96,214076.99,278.3,-20248.47,死叉 MA10=65.93 < MA20=65.97
2026-02-27,宁德时代,300750,卖出,800,341.33,273060.78,354.98,-22940.31,止损 亏损-7.5%
